Time,Temperature_Fahrenheit,Relative_Humidity
2021-05-10 15:19:00,77.72,51
2021-05-10 15:49:00,77,51.6
2021-05-10 16:19:00,76.1,52.2
2021-05-10 16:49:00,75.56,52.7
2021-05-10 17:19:00,75.02,53.1
2021-05-10 17:49:00,74.48,53.5
2021-05-10 18:19:00,74.12,53.9
2021-05-10 18:49:00,73.58,54.2
2021-05-10 19:19:00,73.04,54.5
2021-05-10 19:49:00,72.5,54.9
2021-05-10 20:19:00,71.96,55.1
2021-05-10 20:49:00,71.6,55.2
2021-05-10 21:19:00,71.42,55.3
2021-05-10 21:49:00,71.06,55.4
2021-05-10 22:19:00,70.7,55.4
2021-05-10 22:49:00,70.52,55.5
2021-05-10 23:19:00,70.34,56
2021-05-10 23:49:00,70.16,56.5
2021-05-11 00:19:00,69.98,56.9
2021-05-11 00:49:00,69.98,57.4
2021-05-11 01:19:00,69.8,57.8
2021-05-11 01:49:00,69.62,58.1
2021-05-11 02:19:00,69.44,58.4
2021-05-11 02:49:00,69.44,58.8
2021-05-11 03:19:00,69.44,59.1
2021-05-11 03:49:00,69.26,59.4
2021-05-11 04:19:00,69.08,59.7
2021-05-11 04:49:00,69.08,59.9
2021-05-11 05:19:00,68.9,60.1
2021-05-11 05:49:00,68.9,60.2
2021-05-11 06:19:00,69.08,60.3
2021-05-11 06:49:00,69.26,60.2
2021-05-11 07:19:00,69.62,60.1
2021-05-11 07:49:00,70.34,59.7
2021-05-11 08:19:00,70.88,59
2021-05-11 08:49:00,71.24,58
2021-05-11 09:19:00,71.96,58.8
2021-05-11 09:49:00,73.4,58.1
2021-05-11 10:19:00,74.3,56.6
2021-05-11 10:49:00,75.02,55.4
2021-05-11 11:19:00,75.56,54.3
2021-05-11 11:49:00,75.38,54.1
2021-05-11 12:19:00,75.2,54
2021-05-11 12:49:00,75.02,53.9
2021-05-11 13:19:00,75.02,53.8
2021-05-11 13:49:00,75.92,52.9
2021-05-11 14:19:00,76.1,52.6
2021-05-11 14:49:00,75.92,52.5
2021-05-11 15:19:00,75.56,52.8
2021-05-11 15:49:00,75.2,53
2021-05-11 16:19:00,75.38,52.7
2021-05-11 16:49:00,75.38,52.6
2021-05-11 17:19:00,75.02,52.8
2021-05-11 17:49:00,74.66,53
2021-05-11 18:19:00,74.12,53.4
2021-05-11 18:49:00,73.58,53.8
2021-05-11 19:19:00,72.86,54.2
2021-05-11 19:49:00,72.32,54.5
2021-05-11 20:19:00,71.78,54.7
2021-05-11 20:49:00,71.42,54.8
2021-05-11 21:19:00,71.06,54.9
2021-05-11 21:49:00,70.88,54.9
2021-05-11 22:19:00,70.7,55
2021-05-11 22:49:00,70.52,55.1
2021-05-11 23:19:00,70.34,55.7
2021-05-11 23:49:00,70.16,56.2
2021-05-12 00:19:00,69.98,56.6
2021-05-12 00:49:00,69.8,57
2021-05-12 01:19:00,69.8,57.4
2021-05-12 01:49:00,69.62,57.7
2021-05-12 02:19:00,69.44,58.1
2021-05-12 02:49:00,69.26,58.4
2021-05-12 03:19:00,69.44,58.7
2021-05-12 03:49:00,69.44,58.9
2021-05-12 04:19:00,69.44,59.1
2021-05-12 04:49:00,69.26,59.5
2021-05-12 05:19:00,69.26,59.7
2021-05-12 05:49:00,69.08,59.9
2021-05-12 06:19:00,69.08,59.9
2021-05-12 06:49:00,69.08,60.2
2021-05-12 07:19:00,69.44,60.1
2021-05-12 07:49:00,69.98,59.7
2021-05-12 08:19:00,70.7,59.1
2021-05-12 08:49:00,71.6,58.3
2021-05-12 09:19:00,72.5,57.1
2021-05-12 09:49:00,73.4,56.1
2021-05-12 10:19:00,73.4,55.7
2021-05-12 10:49:00,73.04,55.5
2021-05-12 11:19:00,72.68,55.5
2021-05-12 11:49:00,72.5,55.5
2021-05-12 12:19:00,72.32,55.4
2021-05-12 12:49:00,73.22,54.3
2021-05-12 13:19:00,74.48,53
2021-05-12 13:49:00,75.2,52
2021-05-12 14:19:00,75.74,51.4
2021-05-12 14:49:00,75.92,51
2021-05-12 15:19:00,76.1,50.7
2021-05-12 15:49:00,76.28,50.4
2021-05-12 16:19:00,76.28,50.3
2021-05-12 16:49:00,75.92,50.7
2021-05-12 17:19:00,75.38,51.3
2021-05-12 17:49:00,75.02,51.9
2021-05-12 18:19:00,74.3,52.4
2021-05-12 18:49:00,73.76,52.9
2021-05-12 19:19:00,73.04,53.4
2021-05-12 19:49:00,72.32,53.7
2021-05-12 20:19:00,71.96,54
2021-05-12 20:49:00,71.6,54.3
2021-05-12 21:19:00,71.06,54.4
2021-05-12 21:49:00,70.7,54.6
2021-05-12 22:19:00,70.52,54.7
2021-05-12 22:49:00,70.34,55.2
2021-05-12 23:19:00,70.34,55.8
2021-05-12 23:49:00,70.16,56.3
2021-05-13 00:19:00,69.98,56.7
2021-05-13 00:49:00,69.8,57
2021-05-13 01:19:00,69.8,57.4
2021-05-13 01:49:00,69.62,57.8
2021-05-13 02:19:00,69.62,58.2
2021-05-13 02:49:00,69.44,58.5
2021-05-13 03:19:00,69.44,58.9
2021-05-13 03:49:00,69.26,59.2
2021-05-13 04:19:00,69.26,59.4
2021-05-13 04:49:00,69.08,59.6
2021-05-13 05:19:00,68.9,59.8
2021-05-13 05:49:00,69.08,59.9
2021-05-13 06:19:00,69.08,60
2021-05-13 06:49:00,69.26,60
2021-05-13 07:19:00,69.62,59.9
2021-05-13 07:49:00,70.16,59.6
2021-05-13 08:19:00,70.7,59.1
2021-05-13 08:49:00,71.06,58.3
2021-05-13 09:19:00,71.78,57.2
2021-05-13 09:49:00,72.5,56.2
2021-05-13 10:19:00,73.4,55.2
2021-05-13 10:49:00,74.3,54.3
2021-05-13 11:19:00,74.84,53.6
2021-05-13 11:49:00,75.2,53.1
2021-05-13 12:19:00,75.56,52.7
2021-05-13 12:49:00,76.1,51.8
2021-05-13 13:19:00,76.64,51.5
2021-05-13 13:49:00,77,51.3
2021-05-13 14:19:00,77,50.8
2021-05-13 14:49:00,77.18,50.5
2021-05-13 15:19:00,77.18,50.9
2021-05-13 15:49:00,77,50.7
2021-05-13 16:19:00,76.82,50.7
2021-05-13 16:49:00,76.46,50.9
2021-05-13 17:19:00,75.92,51.2
2021-05-13 17:49:00,75.56,51.7
2021-05-13 18:19:00,74.84,52.3
2021-05-13 18:49:00,74.3,52.8
2021-05-13 19:19:00,73.58,53.3
2021-05-13 19:49:00,72.86,53.7
2021-05-13 20:19:00,72.32,54
2021-05-13 20:49:00,71.96,54.2
2021-05-13 21:19:00,71.6,54.4
2021-05-13 21:49:00,71.06,54.4
2021-05-13 22:19:00,70.7,54.5
2021-05-13 22:49:00,70.52,54.6
2021-05-13 23:19:00,70.34,54.9
2021-05-13 23:49:00,70.16,55.5
2021-05-14 00:19:00,70.16,56
2021-05-14 00:49:00,69.98,56.4
2021-05-14 01:19:00,69.8,56.7
2021-05-14 01:49:00,69.8,57
2021-05-14 02:19:00,69.62,57.4
2021-05-14 02:49:00,69.62,57.7
2021-05-14 03:19:00,69.44,57.9
2021-05-14 03:49:00,69.44,58.3
2021-05-14 04:19:00,69.44,58.6
2021-05-14 04:49:00,69.26,58.9
2021-05-14 05:19:00,69.08,59.1
2021-05-14 05:49:00,69.08,59.4
2021-05-14 06:19:00,69.08,59.6
2021-05-14 06:49:00,69.26,59.8
2021-05-14 07:19:00,69.44,59.7
2021-05-14 07:49:00,69.8,59.5
2021-05-14 08:19:00,70.52,59.2
2021-05-14 08:49:00,71.06,58.7
2021-05-14 09:19:00,71.6,57.8
2021-05-14 09:49:00,72.32,56.8
2021-05-14 10:19:00,73.04,55.8
2021-05-14 10:49:00,73.76,54.8
